,prefecture_id,name
0,1,札幌市
0,1,函館市
0,1,小樽市
0,1,旭川市
0,1,室蘭市
0,1,釧路市
0,1,帯広市
0,1,北見市
0,1,夕張市
0,1,岩見沢市
0,1,網走市
0,1,留萌市
0,1,苫小牧市
0,1,稚内市
0,1,美唄市
0,1,芦別市
0,1,江別市
0,1,赤平市
0,1,紋別市
0,1,士別市
0,1,名寄市
0,1,三笠市
0,1,根室市
0,1,千歳市
0,1,滝川市
0,1,砂川市
0,1,歌志内市
0,1,深川市
0,1,富良野市
0,1,登別市
0,1,恵庭市
0,1,伊達市
0,1,北広島市
0,1,石狩市
0,1,北斗市
0,2,青森市
0,2,弘前市
0,2,八戸市
0,2,黒石市
0,2,五所川原市
0,2,十和田市
0,2,三沢市
0,2,むつ市
0,2,つがる市
0,2,平川市
0,3,盛岡市
0,3,宮古市
0,3,大船渡市
0,3,花巻市
0,3,北上市
0,3,久慈市
0,3,遠野市
0,3,一関市
0,3,陸前高田市
0,3,釜石市
0,3,二戸市
0,3,八幡平市
0,3,奥州市
0,3,滝沢市
0,4,仙台市
0,4,石巻市
0,4,塩竈市
0,4,気仙沼市
0,4,白石市
0,4,名取市
0,4,角田市
0,4,多賀城市
0,4,岩沼市
0,4,登米市
0,4,栗原市
0,4,東松島市
0,4,大崎市
0,4,富谷市
0,5,秋田市
0,5,能代市
0,5,横手市
0,5,大館市
0,5,男鹿市
0,5,湯沢市
0,5,鹿角市
0,5,由利本荘市
0,5,潟上市
0,5,大仙市
0,5,北秋田市
0,5,にかほ市
0,5,仙北市
0,6,山形市
0,6,米沢市
0,6,鶴岡市
0,6,酒田市
0,6,新庄市
0,6,寒河江市
0,6,上山市
0,6,村山市
0,6,長井市
0,6,天童市
0,6,東根市
0,6,尾花沢市
0,6,南陽市
0,7,福島市
0,7,会津若松市
0,7,郡山市
0,7,いわき市
0,7,白河市
0,7,須賀川市
0,7,喜多方市
0,7,相馬市
0,7,二本松市
0,7,田村市
0,7,南相馬市
0,7,伊達市
0,7,本宮市
0,8,水戸市
0,8,日立市
0,8,土浦市
0,8,古河市
0,8,石岡市
0,8,結城市
0,8,龍ケ崎市
0,8,下妻市
0,8,常総市
0,8,常陸太田市
0,8,高萩市
0,8,北茨城市
0,8,笠間市
0,8,取手市
0,8,牛久市
0,8,つくば市
0,8,ひたちなか市
0,8,鹿嶋市
0,8,潮来市
0,8,守谷市
0,8,常陸大宮市
0,8,那珂市
0,8,筑西市
0,8,坂東市
0,8,稲敷市
0,8,かすみがうら市
0,8,桜川市
0,8,神栖市
0,8,行方市
0,8,鉾田市
0,8,つくばみらい市
0,8,小美玉市
0,9,宇都宮市
0,9,足利市
0,9,栃木市
0,9,佐野市
0,9,鹿沼市
0,9,日光市
0,9,小山市
0,9,真岡市
0,9,大田原市
0,9,矢板市
0,9,那須塩原市
0,9,さくら市
0,9,那須烏山市
0,9,下野市
0,10,前橋市
0,10,高崎市
0,10,桐生市
0,10,伊勢崎市
0,10,太田市
0,10,沼田市
0,10,館林市
0,10,渋川市
0,10,藤岡市
0,10,富岡市
0,10,安中市
0,10,みどり市
0,11,さいたま市
0,11,川越市
0,11,熊谷市
0,11,川口市
0,11,行田市
0,11,秩父市
0,11,所沢市
0,11,飯能市
0,11,加須市
0,11,本庄市
0,11,東松山市
0,11,春日部市
0,11,狭山市
0,11,羽生市
0,11,鴻巣市
0,11,深谷市
0,11,上尾市
0,11,草加市
0,11,越谷市
0,11,蕨市
0,11,戸田市
0,11,入間市
0,11,朝霞市
0,11,志木市
0,11,和光市
0,11,新座市
0,11,桶川市
0,11,久喜市
0,11,北本市
0,11,八潮市
0,11,富士見市
0,11,三郷市
0,11,蓮田市
0,11,坂戸市
0,11,幸手市
0,11,鶴ヶ島市
0,11,日高市
0,11,吉川市
0,11,ふじみ野市
0,11,白岡市
0,12,千葉市
0,12,銚子市
0,12,市川市
0,12,船橋市
0,12,館山市
0,12,木更津市
0,12,松戸市
0,12,野田市
0,12,茂原市
0,12,成田市
0,12,佐倉市
0,12,東金市
0,12,旭市
0,12,習志野市
0,12,柏市
0,12,勝浦市
0,12,市原市
0,12,流山市
0,12,八千代市
0,12,我孫子市
0,12,鴨川市
0,12,鎌ケ谷市
0,12,君津市
0,12,富津市
0,12,浦安市
0,12,四街道市
0,12,袖ケ浦市
0,12,八街市
0,12,印西市
0,12,白井市
0,12,富里市
0,12,南房総市
0,12,匝瑳市
0,12,香取市
0,12,山武市
0,12,いすみ市
0,12,大網白里市
0,13,特別区部
0,13,八王子市
0,13,立川市
0,13,武蔵野市
0,13,三鷹市
0,13,千代田区
0,13,中央区
0,13,港区
0,13,新宿区
0,13,文京区
0,13,台東区
0,13,墨田区
0,13,江東区
0,13,品川区
0,13,目黒区
0,13,大田区
0,13,世田谷区
0,13,渋谷区
0,13,中野区
0,13,杉並区
0,13,豊島区
0,13,北区
0,13,荒川区
0,13,板橋区
0,13,練馬区
0,13,足立区
0,13,葛飾区
0,13,江戸川区
0,13,青梅市
0,13,府中市
0,13,昭島市
0,13,調布市
0,13,町田市
0,13,小金井市
0,13,小平市
0,13,日野市
0,13,東村山市
0,13,国分寺市
0,13,国立市
0,13,福生市
0,13,狛江市
0,13,東大和市
0,13,清瀬市
0,13,東久留米市
0,13,武蔵村山市
0,13,多摩市
0,13,稲城市
0,13,羽村市
0,13,あきる野市
0,13,西東京市
0,14,横浜市
0,14,川崎市
0,14,相模原市
0,14,横須賀市
0,14,平塚市
0,14,鎌倉市
0,14,藤沢市
0,14,小田原市
0,14,茅ヶ崎市
0,14,逗子市
0,14,三浦市
0,14,秦野市
0,14,厚木市
0,14,大和市
0,14,伊勢原市
0,14,海老名市
0,14,座間市
0,14,南足柄市
0,14,綾瀬市
0,15,新潟市
0,15,長岡市
0,15,三条市
0,15,柏崎市
0,15,新発田市
0,15,小千谷市
0,15,加茂市
0,15,十日町市
0,15,見附市
0,15,村上市
0,15,燕市
0,15,糸魚川市
0,15,妙高市
0,15,五泉市
0,15,上越市
0,15,阿賀野市
0,15,佐渡市
0,15,魚沼市
0,15,南魚沼市
0,15,胎内市
0,16,富山市
0,16,高岡市
0,16,魚津市
0,16,氷見市
0,16,滑川市
0,16,黒部市
0,16,砺波市
0,16,小矢部市
0,16,南砺市
0,16,射水市
0,17,金沢市
0,17,七尾市
0,17,小松市
0,17,輪島市
0,17,珠洲市
0,17,加賀市
0,17,羽咋市
0,17,かほく市
0,17,白山市
0,17,能美市
0,17,野々市市
0,18,福井市
0,18,敦賀市
0,18,小浜市
0,18,大野市
0,18,勝山市
0,18,鯖江市
0,18,あわら市
0,18,越前市
0,18,坂井市
0,19,甲府市
0,19,富士吉田市
0,19,都留市
0,19,山梨市
0,19,大月市
0,19,韮崎市
